customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
8065-BVEPF,Male,1.0,No,No,65.0,Yes,No,Fiber optic,No,Yes,es,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.1,6496.15,0
3796-ENZGF,Male,0.0,,No,,Yes,Yes,,No,Yes,No,Yes,,Yes,Two year,No,Mailed check,67.25,4234.15,0
1734-ZMNTZ,Female,0.0,Yes,Yes,11.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.0,300.7,0
2853-CWQFQ,Male,18.37901514654594,No,Yes,1.0,Yes,No,DSL,No,,No,Yes,,Yes,Month-to-month,Yes,Mailed check,59.55,59.55,0
0813-TAXXS,Male,,No,No,55.0,Yes,Yes,DSL,,No,Yes,No,,Yes,Two year,Yes,Bank transfer (automatic),77.8,4323.35,0
2519-TWKFS,Male,18.37901514654594,Yes,Yes,25.0,Yes,Yes,DSL,,No,,Yes,No,No,One year,Yes,Mailed check,55.1,1466.1,0
2889-FPWRM,Male,0.0,Yes,No,72.0,Yes,Yes,Fiber optic,Yes,,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),,8684.8,1
0626-QXNGV,Female,0.0,Yes,No,72.0,Yes,Yes,No,No internet service,No internet service,No internet servic,No internet service,,No internet service,Two year,Yes,Credit card (automatic),24.15,,0
6723-CEGQI,Female,0.0,No,Yes,65.0,No,No phone service,SL,No,Yes,No,,Yes,,Two year,No,Mailed check,45.25,2933.95,0
6987-XQSJT,Female,1.0,No,No,54.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,,Yes,Electronic check,2297.1492963913934,4370.25,1
4732-RRJZC,Male,0.0,eYs,Yes,7.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-omnth,No,Mailed check,20.25,144.35,0
9499-XPZXM,Female,0.0,,,72.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),64.75,4804.75,0
4338-EYCER,Male,0.0,Yes,No,21.0,Yes,No,,oN,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),54.6,1125.2,0
3007-FDPEA,Female,0.0,No,No,2.0,Yes,No,No,No internet service,,No internet service,No internet serivce,No internet service,No internet service,,Yes,Bank transfer (automatic),20.7,,0
6350-XFYGW,Mael,1.0,No,No,4.0,Yes,No,,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,422.4,0
4290-BSXUX,Male,18.37901514654594,Yes,,3.0,Yes,Yes,Fiber optic,No,oN,,Yes,,,Month-to-month,Yes,,79.65,251.75,1
8513-OLYGY,Male,0.0,Yes,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,,Yes,Yes,Yes,Two year,No,,115.8,8332.15,0
0311-QYWSS,Female,0.0,No,,6.0,Yes,No,DSL,Yes,No,,No,No,No,Month-to-month,Yes,Electronic check,49.45,314.6,0
8705-DWKTI,Male,0.0,No,No,52.0,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),,4331.4,0
8755-IWJHN,Male,1.0,Yes,No,69.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,,95.35,6382,0
0325-XBFAC,Male,0.0,No,No,8.0,Yes,No,,No,No,,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.7,740.3,1
4480-QQRHC,,,No,No,8.0,Yes,No,Fiber optic,No,NO,Yes,,No,No,Month-to-month,,Bank transfer (automatic),74.05,600.15,0
0929-PECLO,Female,1.0,,No,,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,,Yes,Bank transfer (automatic),89.6,5538.8,0
3680-CTHUH,,0.0,No,No,60.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One yea,es,Credit card (automatic),116.6,,0
1202-KKGFU,Female,,Yes,No,12.0,Yes,No,DSL,Yes,No,No,Yes,No,No,,No,Bank transfer (automatic),54.2,690.5,0
6112-KTHFQ,Female,0.0,No,No,13.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,Month-to-month,Yes,Mailed check,19.3,279.3,0
1852-XEMDW,Mael,0.0,No,No,22.0,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,NO,Mailed check,65.05,1427.55,0
2462-XIIJB,Male,,No,No,,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,92.5,452.7,1
4760-XOHVN,Female,0.0,Yes,,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,No,Mailed check,19.45,19.45,1
1820-DJFPH,Female,0.0,Yes,Yes,72.0,Yes,Yes,No,No internet service,,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),,1709.15,0
9426-SXNHE,Female,0.0,No,No,2.0,Yes,No,No,No internet service,No internet service,,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.75,53.15,0
9068-FHQHD,Female,0.0,Yes,Yes,40.0,Yes,,No,No internet service,No internet service,No internet service,No internet service,,No internet service,wTo year,No,Bank transfer (automatic),20.15,777.35,0
1269-FOYWN,Male,0.0,Yes,Yes,,Yes,No,No,No internet service,No internet esrvice,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.0,860.85,0
9470-YFUYI,Male,1.0,Yes,No,,Yes,No,DSL,Yes,,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),71.0,5012.1,0
7817-BOQPW,Female,0.0,No,No,2.0,Yes,Yes,Fiber optic,oN,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.55,166.3,1
7402-EYFXX,Male,,NO,No,26.0,Yes,Yes,Fiber optic,ON,No,No,No,Yes,Yes,Month-to-month,,Electronic check,93.6,2404.1,0
1853-UDXBW,Male,0.0,Yes,Yes,1.0,Yes,No,Fiber optic,No,No,No,No,NO,No,Month-to-month,Yes,Electronic check,70.0,70,1
9895-VFOXH,Female,18.37901514654594,No,No,1.0,No,No phone service,DSL,No,No,No,No,No,,Month-to-month,,,24.4,24.4,0
5458-CQJTA,Male,0.0,Yes,Yes,65.0,Yes,No,DSL,Yes,No,No,Yes,Yes,,Two year,Yes,Bank transfer (automatic),74.8,4820.51,1
1230-QAJDW,Male,0.0,No,No,3.0,Yes,Yes,DSL,No,No,oN,YES,Yes,No,Month-to-month,YES,Mailed check,2154.6492963913934,209.9,0
5701-ZIKJE,Male,0.0,No,No,13.0,Yes,No,DSL,No,No,No,es,No,No,Month-to-month,Yes,Mailed check,50.55,610.75,0
5219-YIPTK,,0.0,Yes,No,33.0,Yes,eYs,,No,Ye,Yes,No,Yes,Yes,Month-to-month,,Electronic check,104.4,3409.6,1
5032-MIYKT,Female,0.0,No,No,1.0,Yes,No,Fiber optic,No,,No,No,No,No,Month-to-month,,Mailed check,70.7,70.7,0
7396-VJUZB,Male,0.0,Yes,,4.0,Yes,No,DSL,No,NO,,No,No,No,Month-to-month,No,Mailed check,45.25,,0
9717-QEBGU,MAL,0.0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,oN,No,Month-to-month,,Electronic check,70.3,144,0
5172-RKOCB,Male,0.0,,No,,Yes,Yes,Fiber optic,Yes,Yes,No,,Yes,Yes,Two year,,Credit card (automatic),108.95,7785,0
6509-TSGWN,,0.0,Yes,Yes,37.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,,No internet service,Month-to-month,No,,26.45,911.6,0
3540-RZJYU,Female,0.0,No,No,15.0,Yes,No,Fiber optic,Yes,No,No,,Yes,,Month-to-month,,Electronic check,86.2,1270.2,1
3178-CIFOT,,0.0,No,No,23.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internt service,No internet service,One year,Ys,,19.65,478.1,0
2091-MJTFX,,0.0,Yes,Yes,30.0,No,No phone service,DSL,,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),51.2,1561.5,1
4530-NDRKU,Female,0.0,,Yes,42.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Electronic check,19.05,761.85,0
5985-TBABQ,,0.0,No,No,32.0,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,74.75,2282.95,0
9800-ONTFE,Female,0.0,Yes,,22.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.8,1615.1,0
6743-HHQPF,Male,0.0,Yes,,42.0,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.1,1097.15,0
8455-HIRAQ,Female,0.0,No,No,8.0,Yes,No,,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.45,369.3,0
6616-AALSR,Female,0.0,Yes,Yes,65.0,Yes,Yes,,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),104.3,6725.3,0
0883-EIBTI,,0.0,No,No,2.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,No,,19.5,31.55,1
9415-ZNBSX,,0.0,Yes,Yes,70.0,Yes,Yes,DSL,Yes,Yes,Yes,,Yes,,Two year,Yes,Bank transfer (automatic),89.0,6293.2,0
4018-KJYUY,Male,18.37901514654594,No,Yes,22.0,Yes,No,No,No internet service,NO INTERNET SERVICE,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.15,432.5,0
0722-TROQR,Female,1.0,No,No,4.0,Yes,Yes,Fiber optic,NO,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,321.75,1
7571-YXDAD,Female,0.0,No,No,2.0,Yes,Yes,Fiber optic,,No,No,No,No,No,Month-to-month,No,Credit card (automatic),74.9,147.15,1
3884-UEBXB,Female,0.0,es,Yes,67.0,No,No phone service,DSL,Yes,YES,No,No,No,No,Two year,No,Bank transfer (automatic),36.15,2434.45,0
8780-RSYYU,Female,0.0,No,No,25.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.2,532.1,0
5537-UXXVS,,0.0,Yes,No,20.0,Yes,No,No,No internet service,No internet service,No internet service,No internet serice,No internet service,,Month-to-month,No,Bank transfer (automatic),19.25,375.25,0
1791-PQHBB,Female,0.0,No,Yes,2.0,Yes,No,DSL,YES,,No,,No,Yes,Month-to-month,Yes,Credit card (automatic),61.2,12.95,0
8701-DGLVH,Male,0.0,NO,,51.0,Yes,No,No,No internet service,No internet service,,No internet service,No internet service,No internet service,,No,Mailed check,20.45,1042.65,0
8741-LQOBK,Female,0.0,,Yes,46.0,No,No phone service,DSL,,Yse,No,No,No,No,,No,Bank transfer (automatic),,1620.25,0
3393-FMZPV,Female,0.0,No,No,25.0,Yes,Yes,Fiber optic,No,,No,No,Yes,Yes,Month-to-month,,Electronic check,100.25,2387.75,1
8082-GHXOP,Male,0.0,No,Yes,13.0,Yes,No,,No,No,No,No,No,No,Month-to-month,No,,44.0,659.35,0
6402-ZFPPI,Female,1.0,No,,25.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,102.8,,1
0980-FEXWF,Male,0.0,,Yes,26.0,Yes,No,DLS,,No,Yes,No,No,No,One year,,Mailed check,50.35,12858,0
7486-KSRVI,Male,0.0,No,No,43.0,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,,One year,Yes,,100.0,4211.55,1
3011-WQKSZ,Male,0.0,No,Yes,19.0,Yes,No,No,,No internet service,No internet service,No internet service,No internet service,,,Yes,Electronic check,,377.55,0
8443-WVPSS,Male,0.0,,No,10.0,Yes,No,Fiber optic,No,Yes,,Yes,YES,YES,Month-to-month,Yes,Electronic check,99.85,,1
3006-XIMLN,Female,,No,Yes,2.0,Yes,Yes,Fiber optic,No,No,No,,Yes,Yes,Month-to-month,,Bank transfer (automatic),94.2,93.8,1
8218-FFJDS,Female,,Yes,No,72.0,Yes,Yes,DSL,Yes,Yes,No,,Yes,Yes,Two year,,Bank transfer (automatic),86.4,6058.95,0
1986-PHGZF,Male,1.0,No,No,18.0,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),58.4,964.9,0
9965-YOKZB,Male,1.0,No,No,9.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.85,790.15,1
0504-HHAPI,Female,1.0,,,27.0,Yes,,Fiber optic,No,No,Yes,No,No,,Month-to-month,No,Credit card (automatic),88.3,2467.75,1
9360-OMDZZ,Male,0.0,No,No,24.0,Yes,Yes,,No,No,No,No,Yes,Yes,Month-to-month,Yes,,94.1,2322.85,0
6305-YLBMM,Male,,No,No,69.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,,Bank transfer (automatic),104.05,7262,1
0345-XMMUG,Female,0.0,Yes,No,46.0,Yes,Yes,Fiber optic,No,Yes,Yes,,Yes,Yes,Two year,Yes,Credit card (automatic),,4854.3,0
8024-XNAFQ,Female,1.0,No,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,,Yes,Two year,Yes,BANK TRANSFER (AUTOMATIC),107.4,7748.75,0
3647-GMGDH,Male,0.0,Yes,No,22.0,Yes,No,Fiber optic,No,No,Yes,,Yes,Yes,Month-to-month,eYs,Credit card (automatic),94.7,1914.9,1
2988-GBIVW,Female,1.0,es,No,70.0,Yes,Yes,Fiber optic,Yes,No,,oN,No,Yes,Month-to-month,,Electronic check,90.85,6470.1,0
2832-SCUCO,Female,0.0,No,No,2.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No iternet service,Month-to-month,No,Electronic check,19.9,57.4,0
7036-ZZKBD,Male,0.0,Yes,No,31.0,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,CREDIT CARD (AUTOMATIC),66.4,2019.8,0
3791-LGQCY,Female,1.0,Yes,No,56.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),100.65,5688.05,1
0265-PSUAE,Female,0.0,Yes,Yes,16.0,Yes,,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),100.7,1522.7,0
0463-TXOAK,Male,0.0,No,Yes,52.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),,1334.5,0
0594-UFTUL,Male,0.0,Yes,Yes,13.0,Yes,,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,,252,0
9509-MPYOD,Female,0.0,No,No,35.0,Yes,No,No,No internet service,,No internet sevrice,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,,0
9128-CPXKI,Female,0.0,No,No,,Yes,,Fiber optic,No,No,,No,Yes,Yes,Two year,No,Electronic check,95.8,5655.45,0
0129-KPTWJ,Male,18.37901514654594,Yes,No,72.0,Yes,No,Fiber optic,No,No,es,No,Yes,,Month-to-month,Yes,Electronic check,94.65,6747.35,0
8166-ZZTFS,Female,1.0,Yes,No,66.0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,,80.55,5265.1,1
5855-EIBDE,Female,0.0,Yes,No,49.0,Yes,Yes,Fiber optic,,Yes,Yes,Yes,No,,Two year,No,Credit card (automatic),106.65,5174.35,0
5365-LLFYV,Female,0.0,,No,2.0,Yes,No,DSL,No,No,oN,No,No,No,Month-to-month,Yes,,45.85,105.6,0
5956-YHHRX,Male,1.0,No,No,21.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.35,2271.85,0
6008-NAIXK,Male,1.0,No,No,54.0,No,No phone service,DSL,,Yes,Yes,No,Yes,Yes,One year,Yse,Electronic check,55.45,9266.95,0
2956-GGUCQ,Male,1.0,Yes,No,24.0,Yes,Yes,Fiber optic,Yes,No,oN,No,No,No,Month-to-month,Yes,Electronic check,78.85,1772.25,1
1928-BXYIV,Male,0.0,No,oN,,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,,61.15,0
5760-FXFVO,Male,0.0,No,No,,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,494.95,0
6595-COKXZ,Femael,0.0,No,No,1.0,Yes,No,DSL,No,No,No,,oN,No,Month-to-month,Yes,Maile check,,44.45,1
0961-ZWLVI,Male,0.0,No,Yes,49.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,,Yes,Yes,One year,eYs,,109.2,5290.45,0
5181-OABFK,Female,18.37901514654594,Yes,Yes,56.0,Yes,No,DSL,Yes,Yes,Yes,No,No,,Two year,Yes,Credit card (automatic),,3346.8,0
4007-NHVHI,Female,1.0,No,No,56.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,96.85,5219.65,0
7816-VGHTO,Female,0.0,,Yes,6.0,No,No phone service,DSL,No,Yes,Yes,Yes,,,Two year,No,Mailed check,40.55,217.5,0
5871-DGTXZ,Male,0.0,No,No,32.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.8,607.7,0
7550-WIQVA,Male,0.0,Yes,Yse,50.0,Yes,Yes,,Yes,Yes,Yes,NO,Yes,Yes,One year,Yes,Electronic check,108.25,5431.4,0
7544-ZVIKX,,0.0,Yes,,58.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,,Yes,Bank transfer (automatic),105.05,6004.85,0
0016-QLJIS,Female,0.0,Yes,,65.0,Yes,Yes,DSL,Yes,Yes,Yes,,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,0
7508-DQAKK,Female,0.0,No,No,64.0,Yes,Yes,DSL,,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),86.4,5442.05,0
5176-OLSKT,,0.0,Yes,,,Yes,Yes,DSL,Yes,Yes,,No,No,No,Two year,No,Bank transfer (automatic),66.9,4370.25,0
9356-AXGMP,Male,0.0,,No,38.0,Yes,,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,,Electronic check,110.7,4428.6,0
3556-BVQGL,Female,0.0,Yes,No,20.0,Yes,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,,416.45,0
0362-ZBZWJ,Male,0.0,No,No,36.0,Yes,Yes,Fiber optic,,No,No,No,No,Yes,Month-to-month,Yes,Electroniccheck,84.9,3067.2,1
8979-CAMGB,Male,1.0,No,No,64.0,Yes,Yes,Fiber optic,,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,,6688.1,0
4211-MMAZN,Male,0.0,No,No,,Yes,,No,No internet service,No internet service,,No internet service,No internet service,,Month-to-month,No,,20.25,20.25,1
7581-EBBOU,Female,0.0,No,No,60.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,,Yes,Credit card (automatic),70.15,,0
4274-OWWYO,Male,0.0,No,No,1.0,Yes,No,Fiber optic,No,Yes,No,,No,No,Month-to-month,Yes,Electronic check,74.35,74.35,1
5073-RZGBK,Female,0.0,Yes,Yes,50.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,BANK TRANSFER (AUTOMATIC),,4042.2,0
1541-ETJZO,Male,0.0,No,No,1.0,Yes,,DSL,No,,,Yes,No,,Month-to-month,No,Mailed check,62.05,62.05,1
2192-CKRLV,Female,,Yes,oN,72.0,No,No pohne service,DSL,Yes,Yes,Yes,No,No,Yes,,Yes,,49.2,3580.95,0
3154-HMWUU,Mael,0.0,Yes,No,60.0,Yes,No,No,No internet service,,No internet service,No internet service,No internet service,No internet servie,Two year,Yes,Bank transfer (automatic),1707.1492963913934,1198.8,0
6119-SPUDB,Male,0.0,No,,46.0,No,No phone service,,Yes,No,Yes,Yes,,No,Two year,No,,38.25,1755.35,0
6522-OIQSX,Female,18.37901514654594,Yes,Yes,,No,No phone service,DSL,No,,Yes,No,Yes,Yes,,Yes,Credit card (automatic),54.95,,0
7813-ZGGAW,Male,1.0,No,No,31.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,,Month-to-month,Yes,Bank transfer (automatic),96.6,2877.95,0
8748-HFWBO,Male,0.0,Yes,Yes,19.0,Yes,,No,No internet service,No internet service,No internet service,,No internet service,No internet service,One year,No,MAILED CHECK,19.9,357.7,0
1052-QJIBV,Female,0.0,Yes,Yes,71.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.9,1397.3,0
1319-YLZJG,Male,0.0,YES,No,,Yes,No,Fiber optic,YES,Yes,Yes,,,No,Month-to-month,Yes,Electronic check,84.6,959.9,0
4106-HADHQ,Male,0.0,Yes,Yes,39.0,Yes,No,DSL,Yes,No,Yes,Yes,Yes,,One year,No,Credit card (automatic),80.0,3182.95,1
0723-FDLAY,,18.37901514654594,No,No,44.0,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,,85.25,3704.15,0
3050-RLLXC,Female,0.0,,Yes,56.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),81.25,4620.,0
9298-WGMRW,,0.0,Yes,No,72.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,,Yes,Two year,Yes,Bank transfer (automatic),115.5,8312.75,0
2369-UAPKZ,Male,0.0,No,No,5.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,,Mailed check,,541.9,1
3088-LHEFH,Female,0.0,No,No,11.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),,929.3,0
2778-OCLGR,Male,1.0,Yes,No,,No,No phoneservice,DSL,Yes,No,No,No,No,,Month-to-month,No,Bank transfer (automatic),39.1,971.3,1
6583-KQJLK,,1.0,Yes,No,15.0,Yes,No,Fiber optic,No,Yes,,No,Yes,Yes,Month-to-month,Yes,Electronic check,,1285.05,0
8544-JNBOX,Male,0.0,No,No,72.0,Yes,No,No,No internet service,,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.8,1521.2,0
6681-ZSEXG,Male,0.0,Yes,No,56.0,Yes,Yes,DSL,No,,Yes,No,No,No,Two year,No,Credit card (automatic),,3389.25,0
6139-ZZRBQ,Male,1.0,NO,No,64.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,,Yes,Bank transfer (automatic),,1198.05,0
6116-RFVHN,Female,,Yes,,34.0,Yes,Yes,Fiber optic,No,No,Yes,oN,Yes,Yes,Month-to-month,Yes,Electronic check,100.45,,0
0637-KVDLV,Male,0.0,No,No,2.0,Yes,Yes,Fiber optic,,No,No,No,No,,Month-to-month,Yes,Electronic check,76.5,,1
8884-FEEWR,Male,0.0,No,No,35.0,Yes,NO,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.6,754,0
3125-RAHBV,Male,0.0,No,No,22.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,,20.3,467.15,0
6633-MPWBS,Male,0.0,No,No,5.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,49.2,216.9,1
0373-AIVNJ,Male,,No,No,9.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,,One year,,Mailed check,39.55,373,0
8785-EPNCG,Male,0.0,No,No,11.0,Yes,Yse,No,No internet service,No internet service,NO INTERNET SERVICE,,No internet service,No internet service,Month-to-month,No,Credit card (automatic),23.15,245.2,1
1682-VCOIO,,0.0,No,,23.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.45,481.1,0
5729-KLZAR,Female,0.0,Yes,Yes,4.0,Yes,No,Fiber optic,,,No,ON,,,Month-to-month,No,Electronic check,80.85,302.75,1
2072-ZVJJX,,0.0,Yes,oN,68.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,,Two year,No,Bank transfer (automatic),25.25,1728.2,0
8849-AYPTR,,0.0,Yes,No,33.0,Yes,No,Fiber optic,,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,,2694.05,0
9518-IMLHK,Male,0.0,No,No,31.0,Yes,No,,Yes,Yes,Yes,Yes,Yes,No,,Yes,Bank transfer (automatic),72.45,2156.25,0
1582-RAFML,Male,0.0,No,No,1.0,Yes,Yes,,No,,,Yes,No,No,Month-to-month,No,Mailed check,60.1,60.1,1
3646-ITDGM,Female,0.0,No,No,1788.5376145222538,Yes,,No,No internet service,No internet service,No internet service,oN internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,1051.9,0
8740-CRYFY,Male,0.0,No,No,1.0,Yes,No,Fiber optic,NO,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.95,78.95,1
3569-VLDHH,Male,0.0,Yes,Yes,66.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,75.1,5013,0
8224-KDLKN,Male,0.0,Yes,Yes,72.0,Yes,Yes,No,No internet service,No internet service,No internet service,NO INTERNET SERVICE,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.0,1738.9,0
7594-LZNWR,Male,1.0,No,No,,Yes,oN,,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),69.15,,0
4001-TSBTV,,0.0,Yes,Yes,58.0,Yes,No,Fiber optic,No,Yes,Yes,,Yes,No,,Yes,Electronic check,91.55,5511.65,0
2962-XPMCQ,Male,0.0,No,No,2.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.15,98.5,1
8727-XDPUD,Male,0.0,No,,37.0,No,No phone service,DSL,No,No,No,,Yes,No,Two year,No,Credit card (automatic),35.8,1316.9,0
1043-UXOVO,Femae,,No,No,71.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),113.15,7993.3,0
1064-FBXNK,Male,0.0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.85,19.85,0
3996-ZNWYK,Male,1.0,Yes,Yes,71.0,Yes,No,No,,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.8,13884.5,0
2878-DHMIN,Male,18.37901514654594,Yes,Yes,35.0,Yes,No,oN,,,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.9,666,0
7762-ONLJY,Female,0.0,Yes,Yes,6.0,Yes,No,No,No internet service,No internet service,No internet service,No interne tservice,No internet service,No internet service,One year,No,Mailed check,19.7,94.45,0
1678-FYZOW,,0.0,No,No,3.0,Yes,No,Fiber optc,NO,No,No,No,Yes,,Month-to-month,Yes,Electronic check,79.4,244.65,1
5795-BKOYE,Female,0.0,Yes,Yes,69.0,Yes,No,,oN,Yes,Yes,Yes,No,No,One year,No,Bank transfer (automatic),59.1,4134.7,0
8627-EHGIP,,0.0,No,No,44.0,No,No phone service,DSL,No,Yes,,No,Yes,Yes,One year,,Mailed check,,2375.4,1
7402-PWYJJ,,0.0,Yes,No,53.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,91.15,4862.5,0
5480-TBGPH,,0.0,Ye,No,,Yes,No,Fiber optic,No,Yes,Ys,oN,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,2431.35,1
